timestamp,event_type,ear,perclos,fatigue_score,blink_count,yawn_count
2026-03-23T16:26:40.836393,warning,0.20680675321687628,0.0,40.9,0,0
2026-03-23T16:26:42.510434,warning,0.24811953993488134,1.0,60.8,0,0
2026-03-23T16:26:42.644360,warning,0.24810043695238593,1.0,60.0,0,0
2026-03-23T16:26:42.768749,warning,0.2475004444242178,1.0,61.0,0,0
2026-03-23T16:26:42.894984,warning,0.237013892939662,1.0,62.0,0,0
2026-03-23T16:26:43.018767,warning,0.2523723551753514,1.0,57.7,1,0
2026-03-23T16:26:43.131835,warning,0.26485620774741714,1.0,55.5,1,0
2026-03-23T16:26:43.242662,warning,0.2431095418372372,1.0,60.8,1,0
2026-03-23T16:26:43.371596,warning,0.26583436310595143,1.0,54.9,2,0
2026-03-23T16:26:43.483190,warning,0.2692680786096586,1.0,53.9,2,0
2026-03-23T16:26:43.600441,warning,0.2737756798793567,1.0,54.4,2,0
2026-03-23T16:26:43.718410,warning,0.2661251887929923,1.0,55.7,2,0
2026-03-23T16:26:43.830473,warning,0.2877677458090767,1.0,51.2,2,0
2026-03-23T16:26:43.945517,warning,0.26278954813701716,1.0,56.6,2,0
2026-03-23T16:26:44.075835,warning,0.23426163771600872,1.0,61.0,2,0
2026-03-23T16:26:44.202518,warning,0.23411590450788486,1.0,59.1,2,0
2026-03-23T16:26:44.326098,warning,0.23751387947344624,1.0,59.8,2,0
2026-03-23T16:26:44.438592,warning,0.2441545762031923,1.0,59.2,2,0
2026-03-23T16:26:44.563953,warning,0.24118128896971847,1.0,58.5,2,0
2026-03-23T16:26:44.686724,warning,0.23127673484283948,1.0,61.0,2,0
2026-03-23T16:26:44.833782,warning,0.24152112985764568,1.0,59.2,2,0
2026-03-23T16:26:44.967976,warning,0.2369539641547274,1.0,59.8,2,0
2026-03-23T16:26:45.107871,warning,0.21576728182079874,1.0,63.6,2,0
2026-03-23T16:26:45.231897,warning,0.21822736463240355,1.0,62.8,2,0
2026-03-23T16:26:45.362194,warning,0.22922248186759367,1.0,61.5,2,0
2026-03-23T16:26:45.488900,warning,0.21910597312781127,1.0,63.1,2,0
2026-03-23T16:26:45.612377,warning,0.22744367812780483,1.0,60.4,2,0
2026-03-23T16:26:45.731550,warning,0.21073998241355638,1.0,64.3,2,0
2026-03-23T16:26:45.834126,warning,0.22958696465228834,1.0,60.3,2,0
2026-03-23T16:26:45.960073,warning,0.2447636462743384,1.0,57.2,2,0
2026-03-23T16:26:46.079423,warning,0.2507073155304472,1.0,54.6,3,0
2026-03-23T16:26:46.191273,warning,0.25736812179356316,1.0,53.2,3,0
2026-03-23T16:26:46.313166,warning,0.2518097883163271,1.0,54.2,3,0
2026-03-23T16:26:46.447158,warning,0.2640613295142307,1.0,51.7,3,0
2026-03-23T16:26:46.587064,warning,0.23830654761055842,1.0,57.5,3,0
2026-03-23T16:26:46.713073,warning,0.21488137334693758,1.0,63.8,3,0
2026-03-23T16:26:46.865773,warning,0.2083891058303628,1.0,64.8,3,0
2026-03-23T16:26:46.984896,warning,0.20233035429626645,1.0,66.9,3,0
2026-03-23T16:26:47.110971,warning,0.1932702237094131,1.0,68.2,3,0
2026-03-23T16:26:47.248411,warning,0.20898728016831777,1.0,64.5,3,0
2026-03-23T16:26:47.387416,warning,0.2028645067074445,1.0,66.2,3,0
