timestamp,event_type,ear,perclos,fatigue_score,blink_count,yawn_count
2026-03-23T16:22:34.338783,warning,0.16419116248600052,0.0,41.7,0,0
2026-03-23T16:22:36.810621,warning,0.19376799707357342,0.0,40.7,0,0
2026-03-23T16:22:36.913199,warning,0.19421148377820735,1.0,68.3,0,0
2026-03-23T16:22:37.005411,warning,0.21880499003255238,1.0,64.5,0,0
2026-03-23T16:22:37.100101,warning,0.21101655317250484,1.0,65.1,0,0
2026-03-23T16:22:37.240707,critical,0.18840003293666985,1.0,70.1,0,0
2026-03-23T16:22:37.366793,warning,0.20343620531754847,1.0,67.1,0,0
2026-03-23T16:22:37.473318,warning,0.21973749841201384,1.0,63.5,0,0
2026-03-23T16:22:37.566265,warning,0.21476071491336007,1.0,65.0,0,0
2026-03-23T16:22:37.660138,warning,0.2075258594891045,1.0,65.2,0,0
2026-03-23T16:22:37.750856,warning,0.23578248956325892,1.0,60.8,0,0
2026-03-23T16:22:37.859893,warning,0.22236224431030352,1.0,62.7,0,0
2026-03-23T16:22:37.959228,warning,0.22212792332594003,1.0,62.9,0,0
2026-03-23T16:22:38.060390,warning,0.22559922157693357,1.0,62.2,0,0
2026-03-23T16:22:38.173968,warning,0.22823879386255008,1.0,61.7,0,0
2026-03-23T16:22:38.265401,warning,0.22596927634510786,1.0,61.7,0,0
2026-03-23T16:22:38.366209,warning,0.22152814713421026,1.0,62.7,0,0
2026-03-23T16:22:38.451037,warning,0.2285563336739429,1.0,60.7,0,0
2026-03-23T16:22:38.543752,warning,0.1945024323245342,1.0,67.6,0,0
2026-03-23T16:22:38.647537,critical,0.1739354588755927,1.0,71.5,0,0
2026-03-23T16:22:38.757031,critical,0.17128126571608498,1.0,71.2,0,0
2026-03-23T16:22:38.867930,critical,0.18598543952215565,1.0,70.7,0,0
2026-03-23T16:22:38.975851,warning,0.19285452738632264,1.0,67.8,0,0
2026-03-23T16:22:39.079959,critical,0.16480579022870775,1.0,70.7,0,0
2026-03-23T16:22:39.197879,warning,0.18492595647065752,1.0,69.3,0,0
2026-03-23T16:22:39.314589,warning,0.18591528464263798,1.0,69.0,0,0
2026-03-23T16:22:39.405791,warning,0.21164035664021155,1.0,64.4,0,0
2026-03-23T16:22:39.503795,warning,0.23015130405513762,1.0,60.8,0,0
2026-03-23T16:22:39.607178,warning,0.2539990384725503,1.0,54.7,1,0
2026-03-23T16:22:39.708188,warning,0.24407796598099887,1.0,57.2,1,0
2026-03-23T16:22:39.808713,warning,0.2557869818913374,1.0,53.7,2,0
2026-03-23T16:22:39.900766,warning,0.24979439150205013,1.0,53.9,2,0
2026-03-23T16:22:39.999651,warning,0.25542490694023345,1.0,53.3,3,0
2026-03-23T16:22:40.096024,warning,0.2433218574720994,1.0,55.5,3,0
2026-03-23T16:22:40.325907,warning,0.2553532204590453,1.0,52.1,4,0
2026-03-23T16:22:40.445209,warning,0.24754289471224403,1.0,53.9,4,0
2026-03-23T16:22:40.550036,warning,0.2809305395274443,1.0,45.7,5,0
2026-03-23T16:22:40.653035,warning,0.2489652027892501,1.0,52.2,5,0
2026-03-23T16:22:40.753694,warning,0.25025832785803026,1.0,50.6,6,0
2026-03-23T16:22:40.856040,warning,0.26678005605686594,1.0,48.0,6,0
2026-03-23T16:22:40.956683,warning,0.2623416994389315,1.0,48.6,6,0
