timestamp,ear,mar,perclos,fatigue_score,pitch,roll,blink_rate
2026-03-23T16:22:34.336777,0.16419116248600052,0.06249237153667765,0.0,41.7,-3.34,-1.82,0.0
2026-03-23T16:22:39.079959,0.16480579022870775,0.0653146009865529,1.0,70.7,-1.33,-4.23,0.0
2026-03-23T16:22:42.240850,0.20147773032165886,0.05089866018432934,1.0,61.2,-3.41,-4.51,6.0
2026-03-23T16:22:46.026647,0.20929083956192507,0.015841117957120378,1.0,56.7,-3.6,-4.2,9.0
2026-03-23T16:22:50.527719,0.1973317214444083,0.015841117957120378,1.0,59.4,-5.93,-3.78,10.0
2026-03-23T16:22:54.330332,0.25831576299373843,0.0,1.0,43.1,-6.86,-1.83,16.0
2026-03-23T16:22:58.380520,0.25299298916091084,0.0,1.0,43.5,-3.43,-3.65,17.0
2026-03-23T16:23:02.531245,0.22039967263603863,0.0,1.0,61.0,-20.75,-2.29,19.0
2026-03-23T16:23:09.781358,0.20569185377480592,0.01639344262295082,1.0,52.8,-18.53,1.77,21.0
2026-03-23T16:23:16.116057,0.22869698550147022,0.0,1.0,44.3,-13.76,-2.51,21.0
2026-03-23T16:23:21.748577,0.23260418353728926,0.0,1.0,44.9,-16.92,-7.24,21.0
2026-03-23T16:23:25.603142,0.2458081520686008,0.0,1.0,41.4,-6.82,-9.21,23.0
2026-03-23T16:23:29.334516,0.25177949249611264,0.017079674350947746,1.0,48.7,-9.48,-8.89,29.0
2026-03-23T16:23:33.079587,0.24236281288503755,0.0,1.0,49.8,-9.66,-7.63,34.0
2026-03-23T16:23:37.525616,0.22891564316173968,0.0,0.9976,51.8,-10.78,-4.01,37.0
2026-03-23T16:23:41.412273,0.2365638871865591,0.0,0.9978,46.8,-3.61,-4.06,32.0
2026-03-23T16:23:46.106700,0.2167906258271974,0.0,0.9979,52.9,-8.62,-2.22,29.0
2026-03-23T16:23:51.414473,0.20931338987083067,0.0,0.998,48.9,0.61,-3.53,27.0
2026-03-23T16:23:56.410948,0.15909292902252029,0.017541160775661587,0.9982,58.6,1.09,-2.28,23.0
2026-03-23T16:24:00.394199,0.2596508673799175,0.0,0.9965,48.9,-9.74,-154.55,29.0
2026-03-23T16:24:05.515193,0.14881942469966813,0.0,0.9967,65.6,-5.62,16.73,25.0
2026-03-23T16:24:11.069768,0.23286624336792,0.01675533166025456,0.9968,40.6,-0.62,-8.61,25.0
2026-03-23T16:24:16.803896,0.23120582107826151,0.0,0.997,45.0,6.36,0.02,26.0
2026-03-23T16:24:24.302784,0.27350870291499524,0.02141764639665533,0.9971,44.1,-6.23,1.21,26.0
2026-03-23T16:24:29.538908,0.13052398107179258,0.032393179294203676,0.9972,60.6,1.28,-0.82,20.0
2026-03-23T16:24:34.687120,0.26355080192972635,0.0,0.9973,32.1,2.12,-0.28,14.0
2026-03-23T16:24:38.807528,0.23132802506286892,0.020200989723055073,0.9974,34.2,-0.87,-0.54,18.0
2026-03-23T16:24:43.065432,0.2368424486403764,0.014704291967789487,0.9975,34.5,3.01,0.16,18.0
2026-03-23T16:24:47.288934,0.24405949023432558,0.015151515151515152,0.9976,42.9,7.81,-1.14,24.0
2026-03-23T16:24:52.555108,0.21493099892541978,0.015149776143425402,0.9977,50.2,6.17,-1.58,27.0
2026-03-23T16:24:56.537301,0.19697261064690513,0.04346000990741803,0.9978,57.9,8.04,0.08,29.0
2026-03-23T16:25:00.347055,0.2403312205488694,0.029408583935578974,0.9978,42.0,4.08,0.26,25.0
2026-03-23T16:25:04.351762,0.13832162891113925,0.014491231429627112,0.9978,66.5,-0.97,0.58,26.0
2026-03-23T16:25:07.891305,0.24682618990940985,0.029850746268656716,0.9978,45.1,2.29,-0.54,29.0
2026-03-23T16:25:11.240712,0.08809760782049333,0.07352941176470588,0.9978,71.0,-1.9,-0.12,30.0
2026-03-23T16:25:15.160809,0.24661515496365277,0.07692307692307693,0.9978,45.8,1.63,-1.15,32.0
2026-03-23T16:25:18.743875,0.2216624487088797,0.03366221139916014,0.9978,50.2,-3.66,-8.01,34.0
2026-03-23T16:25:22.146122,0.23667051818334714,0.049827287427060704,0.9978,47.6,-5.11,-5.97,40.0
2026-03-23T16:25:26.211277,0.12336955177825004,0.03513641897117392,0.9978,71.1,-2.2,-7.57,41.0
2026-03-23T16:25:31.126710,0.26330560019126364,0.017149857992785445,0.9978,50.4,-10.78,-6.76,46.0
2026-03-23T16:25:34.995566,0.22768532354725268,0.08972782731693774,0.9978,47.5,1.55,-10.46,44.0
2026-03-23T16:25:38.238216,0.22024423513750663,0.06778343733382952,0.9978,50.2,2.96,-9.94,40.0
2026-03-23T16:25:41.837150,0.2407128413568475,0.023563681767021283,0.9978,45.8,1.52,-10.11,39.0
2026-03-23T16:25:47.805085,0.305588569261418,0.018867924528301886,0.9956,58.5,-26.98,174.87,39.0
2026-03-23T16:25:51.356889,0.3136258374887867,0.017811763099147847,0.9678,58.2,-26.43,-5.18,37.0
2026-03-23T16:25:54.884977,0.2869246896596829,0.02354081727545132,0.9489,59.6,-29.2,-3.78,33.0
2026-03-23T16:26:00.952148,0.1645385062670881,0.0,0.9456,78.6,-35.55,-25.12,30.0
